NameLast,ThreatStartDate,ThreatEndDate
Maloney,2013-04-02,2013-04-02
Manchin,2021-01-30,2021-02-04
Manchin,2022-02-09,2022-02-09
Manchin,2014-05-17,2014-05-20
Mast,2018-06-18,2018-06-18
McCarthy,2021-05-01,2023-11-01
McCarthy,2023-02-03,2023-02-03
McCarthy,2023-08-23,2023-10-31
McConnell,2018-10-02,2018-10-16
McConnell,2020-11-04,2020-11-04
McConnell,2021-12-21,2021-12-21
McDermott,2010-12-09,2010-12-10
McDermott,2016-04-22,2016-04-22
McEachin,2020-01-30,2020-01-30
McMorris Rodgers,2018-06-30,2018-06-30
McSally,2017-05-02,2017-05-10
Mikulski,2012-02-18,2012-02-20
Miller,2008-06-17,2008-06-17
Miller,2025-06-19,2025-06-20
Miller,2012-10-10,2012-10-10
Moskowitz,2024-11-08,2024-11-02
Mullin,2023-06-01,2023-06-02
Murkowski,2021-09-02,2021-09-28
Murkowski,2023-09-28,2023-10-02
Murphy,2020-07-03,2020-09-05
Murphy,2022-05-24,2022-05-24
Murphy,2023-05-27,2023-05-27
Murray,2010-03-22,2010-04-04
Murray,2024-09-10,2024-09-11
Nadler,2017-01-17,2018-10-29
Neguse,2022-05-19,2022-06-06
Neguse,2022-05-31,2022-05-31
Nehls,2022-05-23,2022-05-28
Obama,2008-12-02,2008-12-02
Obama,2008-09-01,2008-09-01
Obama,2008-07-15,2008-07-28
Obama,2008-07-27,2008-07-27
Obama,2008-08-23,2008-08-23
Obama,2007-01-01,2008-12-31
Obama,2008-08-23,2008-08-23
Obernolte,2021-06-16,2021-11-06
Ocasio-Cortez,2019-01-17,2019-01-17
Ocasio-Cortez,2020-11-11,2020-11-11
Ocasio-Cortez,2020-12-06,2020-12-06
Ocasio-Cortez,2021-10-12,2021-10-12
Ocasio-Cortez,2021-12-21,2021-12-21
Omar,2019-01-17,2019-01-17
Omar,2019-03-21,2019-03-21
Omar,2019-07-16,2019-07-16
Omar,2021-05-01,2023-11-01
Omar,2025-06-14,2025-06-14
Pastor,2005-10-09,2005-10-09
Paul,2017-06-14,2017-06-14
Paul,2017-11-03,2017-11-03
Paul,2018-06-25,2018-05-25
Paul,2020-11-04,2020-11-04
Pelosi,2009-03-27,2009-03-27
Pelosi,2019-01-17,2019-01-17
Pelosi,2019-03-28,2019-03-28
Pelosi,2020-03-23,2020-03-23
Pelosi,2020-10-23,2020-10-23
Pelosi,2020-12-06,2020-12-06
Pelosi,2021-01-01,2021-01-31
Pelosi,2021-01-21,2022-06-30
Pelosi,2021-02-15,2021-03-11
Pelosi,2021-12-21,2021-12-21
Pelosi,2022-02-13,2022-02-13
Pelosi,2022-10-28,2022-10-28
Pelosi,2025-12-20,2025-12-20
Perry,2020-12-11,2021-01-07
Pocan,2025-06-14,2025-06-14
Pomeroy,2007-05-10,2007-05-10
Price,2008-06-17,2008-06-17
Reed,2020-08-26,2020-08-26
Reed,2020-10-23,2020-10-23
Reichert,2015-04-01,2015-04-01
Reid,2014-04-15,2014-04-15
Reid,2001-09-01,2001-09-01
Romney,2014-07-11,2014-07-12
Romney,2021-12-21,2021-12-21
Rubio,2020-11-04,2020-11-04
Rubio,2023-11-29,2023-12-30
Rubio,2024-06-06,2024-06-06
Rutherford,2018-06-20,2018-06-22
Ryan,2014-07-11,2014-07-12
Sanders,2018-09-29,2018-09-29
Santos,2023-01-29,2023-01-29
Scalise,2017-06-14,2017-06-14
Scalise,2018-06-30,2018-06-30
Schiff,2019-10-01,2019-10-01
Schiff,2019-11-12,2019-11-12
Schiff,2020-01-23,2020-01-23
Scholten,2025-06-14,2025-06-14
Schumer,2017-03-01,2017-03-01
Schumer,2018-07-15,2018-10-23
Schumer,2019-01-17,2019-01-17
Schumer,2020-02-04,2020-02-04
Schumer,2020-12-06,2020-12-06
Schumer,2013-02-20,2013-02-20
Schumer,2021-01-04,2021-01-04
Schumer,2021-02-15,2021-03-11
Schwartz,2010-08-27,2010-08-27
Scott,2017-03-01,2017-10-23
Scott,2020-11-04,2020-11-04
Scott,2023-11-29,2023-12-30
Scott,2023-12-23,2024-01-09
Shelby,2010-03-06,2010-04-24
Shelby,2010-03-06,2010-04-24
Shimkus,2012-01-01,2012-01-01
Shuler,2009-04-05,2009-04-05
Slotkin,2021-01-19,2021-01-30
Smith,2018-07-26,2018-07-26
Smith,2025-06-14,2025-06-14
Speier,2018-03-26,2018-03-26
Speier,2019-08-28,2019-08-28
Stabenow,2015-09-16,2018-02-12
Stabenow,2021-01-05,2021-01-05
Stivers,2017-02-25,2017-06-18
Stivers,2017-03-05,2017-06-18
Stupak,2010-04-05,2010-05-25
Stupak,2010-04-05,2010-05-25
Sullivan,2021-09-20,2021-09-22
Sullivan,2012-07-22,2012-07-22
Swalwell,2019-04-16,2019-04-16
Swalwell,2020-01-25,2020-01-25
Swalwell,2022-08-29,2022-08-29
Swalwell,2024-12-19,2024-12-19
Swalwell,2025-03-27,2025-06-13
Sykes,2025-06-14,2025-06-14
Taylor,2018-03-22,2018-03-22
Tester,2023-01-30,2023-02-13
Tester,2023-04-17,2023-04-17
Thanedar,2025-06-14,2025-06-14
Thompson,2020-06-01,2020-06-01
Thompson,2022-10-11,2022-10-11
Thune,2019-05-16,2019-05-17
Tillis,2021-09-29,2021-09-29
Tillis,2025-03-17,2025-03-17
Titus,2020-03-16,2020-03-16
Tlaib,2019-04-16,2019-04-16
Tlaib,2021-05-16,2021-05-16
Tlaib,2024-02-15,2024-02-15
Tuberville,2023-05-17,2023-05-17
Tuberville,2023-12-23,2024-01-09
Unidentified,2016-06-14,2016-06-14
Unidentified,2018-01-14,2018-01-14
Unidentified,2018-09-22,2018-09-29
Unidentified,2021-01-01,2021-12-31
Unidentified,2021-01-01,2021-12-31
Unidentified,2012-02-18,2012-02-20
Unidentified,2021-01-01,2021-09-30
Unidentified,2021-01-01,2021-09-30
Unidentified,2021-01-21,2021-01-22
Unidentified,2021-06-16,2021-11-06
Unidentified,2022-02-01,2023-11-08
Unidentified,2022-06-11,2022-06-11
Unidentified,2022-07-18,2022-07-18
Unidentified,2023-03-07,2023-12-20
Unidentified,2023-11-06,2023-11-06
Unidentified,2023-12-23,2024-01-09
Unidentified,2023-12-23,2024-01-09
Unidentified,2024-03-23,2024-04-12
Unidentified,2024-04-01,2024-07-30
Unidentified,2024-11-05,2024-11-05
Unidentified,2025-03-26,2025-03-26
Unidentified,2011-02-24,2011-02-24
Van Drew,2021-03-16,2021-03-16
Vance,2024-07-19,2024-07-19
Velázquez,2019-08-16,2019-08-22
Warner,2019-01-31,2019-02-14
Warner,2019-09-02,2019-09-02
Warner,2021-12-12,2021-12-12
Warnock,2021-01-05,2021-01-06
Warnock,2023-12-23,2024-01-09
Warren,2019-01-17,2019-01-17
Waters,2017-01-17,2018-10-29
Waters,2017-06-02,2018-07-20
Waters,2017-10-22,2017-10-22
Waters,2018-08-21,2018-08-21
Waters,2018-10-24,2018-10-24
Waters,2019-01-17,2019-01-17
Waters,2022-08-08,2022-11-10
Weber,2022-03-29,2022-08-10
Wenstrup,2017-06-14,2017-06-14
Wicker,2013-04-16,2013-04-16
Wicker,2023-04-26,2023-04-26
Williams,2017-06-14,2017-06-14
Williams,2023-12-23,2024-01-09
Wilson,2019-06-26,2019-06-26
Wilson,2011-02-15,2011-02-15
Wyden,2019-03-03,2019-03-03
Yoho,2020-07-24,2020-09-03
Zeldin,2022-07-21,2022-07-21
